relative_path	source_exists	source_chars	source_sha256	cleaned_chars	cleaned_sha256	lines	alpha_ratio	bad_chars
Аристотель/Метафизика (Классики философии) - 1934.txt	1	1356803	fa3ad16897722eb85353bc854fc14e31453a932185dad534b3db3f9d6fe8baa7	1340035	4764504c1edd2ec097c88ec1df47dfdd44c525001247a4e809f81379da6bbbdc	4355	0.7818	0
Арманд/Статьи, речи, письма.txt	1	496130	ee1fcd110f7575b5ed84f2377c6a7e161a4aee987dedede37fa7bf43f91b4daf	495754	698283ef4c4043f605bb2d2bc0f00f60e8bc6fc782df9cf223b4e5fcf1b61e51	1840	0.8167	1
Богданов/Эмпириомонизм.txt	1	1155129	f13ce682226d3766b5f645ad182d071d9227ec3279bac4d0d9ce15b19d084879	508387	d857ef20f91f008f759a7883ede50d194795c9f4e5364b90c339aa25acd707e5	1217	0.826	0
Гегель/Лекции по истории философии.txt	1	3425903	9ae679f9097aed7ca2ab7923b9c06f461334f137a79dc34e2712103358ea290e	715024	271d53e12999081993a87ec4b6aaab6f1b6cd90ed6586a276d729c20d4ba6410	1359	0.8147	0
Гегель/Наука логики.txt	1	2241974	8644bf39e6cd1aa46e545230cb29d76e60c83352969142d54292d39811ecbaf1	2091874	8d2dd264d3dba9b2dcb34bc3b05bdbff04e0b327cbf99d5e291065239237f5af	4565	0.8212	1
Гегель/Феноменология духа.txt	1	1303514	ebae86ffe8bf72d46510b9dea5b3008cd2687f5f85b04cc57a9c3aeb248104db	1303098	27db76f1c471e772f0c3d3033ff4dccf575ee6ee572a63531466a88706229b38	2526	0.8209	0
Ленин/pss/том 1.txt	1	1229028	8d94d9ae98c61d97a73bd7dffddaddf0158de72384e811db6801a6c556b3ce0e	1224552	d3149922dc98168fdf3540ab1f5273675c695ed793ffd04752f0bfd420995ff8	5050	0.8025	0
Ленин/pss/том 10.txt	1	967604	a825b28130bb857d492babc912bd68aeb2899b9361bcbb77c6aa8800bb547047	962537	353509d521a7e9a1208399d8bf6f7156141bd7b080f3549d29d131051ac3e490	5634	0.7906	0
Ленин/pss/том 11.txt	1	1092713	511d2b3a135362f403412486ffdb5af23f0bb3e46462f5b3901f206d24555a2c	1087335	f65cedbc1199d4172af2ab3fdfd366ee48602ecb0752aa6bc1581213ba3554b2	5047	0.7941	0
Ленин/pss/том 12.txt	1	1015180	263371646863db877e8038c4907d1d1903f06363909f7aa51ded4ac63ca06b7c	1010495	1cf91ed8f17a5984269b3d4fcb22e9519e54f1b5d654de004f57f41870e9dc75	4922	0.8028	0
Ленин/pss/том 13.txt	1	1054447	7b8f5b2d15dbd778f6c66493cbd711744cefd1a93f687a391e7f4ebe84f35ace	1048782	24555492c2915203544c36ce5e06b3d9943e81d19c555f23ac07e76592b8e178	4836	0.7907	0
Ленин/pss/том 14.txt	1	1022683	011a12d3eb461bbe1984dd5114b0878f6f1987605570ca4b5aa0a41e65a7999f	1017665	e3940282b7327a10102d21d5e296c0f53b7f62b0e3fdfede09b5656bb4ded082	5081	0.7912	0
Ленин/pss/том 15.txt	1	1101201	304367aa20d9bca23cb2d2d99428d57c1e7820aa4336ca9175d2475064b2645a	1095641	4db47870193580ecc0cfb3bcb49fc6291c9c5044e4768bd155b9acb302124926	5227	0.7933	0
Ленин/pss/том 16.txt	1	1368164	78e5e732355341c4173a90261ef37ef78f7cd94ca4e30f94ca251cf4739d85d8	1361136	c25b027eb42307b806335571dbc11e2498941c09f777958cc07becfbc2200827	5635	0.7935	0
Ленин/pss/том 17.txt	1	1244289	1c54e250ed12843f100f36ae383eae999e222f881e7ccd87c34d4a3080ceca9a	1238075	3f5659c0c9048d83d80d994fe58d4bdc8420cb2088361ef68ea3bbf811d49824	5154	0.793	0
Ленин/pss/том 18.txt	1	1084835	b34abe5cd26dac072a3432d05796a2198d223ab207401420595e76d13769c0fa	1080216	feb757581efa81ddceba41deb51e032c8fc41966e1ea0aee06eb792f34c0db2b	3849	0.7826	0
Ленин/pss/том 19.txt	1	1170275	c073e52d6b927bdb7e6b44ea483a4bf920c9e15cfca762181b571dd6c5cd15c6	1165093	2e1d1580b23f8d24b7d06601af2822913553ea05739d3ee72a78edbcaa5725b9	5248	0.7889	0
Ленин/pss/том 2.txt	1	1264999	1735570bad68d8a83b57f64060cba13fbd847f4a0cecf68517492a1f161475cf	1254484	c866bb29bd429d2731d29c3aeed3f034a3ed539aaf5dc2177ea22c8e5e6feca8	6746	0.7934	0
Ленин/pss/том 20.txt	1	1094150	14da5a5cf05e84489833887204ee6b17d191fae137b3c325d08b1af290284cdc	1089829	ffb27aacc8d29662598263d53b9b280fde372cbbe27137ec926f205a90b33407	4644	0.7908	0
Ленин/pss/том 21.txt	1	1221972	fe3dd40bf111e39830177b227d19f9ea85060067f1442d49fcf95e78391570e5	1216494	35ed97b0d4495b75961c87d0de65a070134963a7cc3164c10c01a11f3f599d0d	6332	0.7924	0
Ленин/pss/том 22.txt	1	1045442	b38765e68a0917d80357acc57b56d9c24ce223aa3c20a123fa8e602475b91efc	1039555	c571277ceacadebad0c185260e9ccffc16207996db78d3b3c5f94c0a470c1a02	6425	0.7856	0
Ленин/pss/том 23.txt	1	987116	2805834555b612e0f5d39ccdc4a90f0963ec124c336d241e973d3e90ec2be38d	980732	1dd2382d14e1fbfb0687e88a08caaef66bfde5d675e9e5f49738d863285eee2e	6236	0.7799	0
