title,dropped_count
"В Московском планетарии рассказали, какими будут ""падающие звезды"" потока Персеиды",11
В Белгороде при атаке БПЛА пострадали два человека,11
Россияне стали серебряными призерами ЧЕ по пятиборью в смешанной эстафете,11
"В футбольном ""Динамо"" сообщили об исходящем трансфере",11
"В ""Динамо"" ждут возвращения в строй вратаря Лунева через два тура",11
"Пивоваров: ФК ""Динамо"" важно строить хорошие отношения с Овечкиным",11
Spiegel: Пентагон финансирует исследования в вузах ФРГ,11
FIDE рассмотрит вопрос по допуску россиян на Олимпиаду в ближайшие две недели,11
ВС РФ поразили железнодорожную инфраструктуру ВСУ,11
"Глава ""Калашникова"" заявил, что концерн не работает с недружественными странами",11
"""Нафтогаз Украины"" сообщил о приостановке работы одной из буровых установок",11
В Тульской области начали проверку после обрушения стены в центре образования,11
"МИД РФ считает, что должность высокого представителя в БиГ нужно закрыть",11
Africanews: гражданская война в Судане поставила под угрозу пирамиды Мероэ,11
Филатов: Дворкович способен повлиять на совет FIDE для допуска сборных РФ,11
"Футболисты ""Локомотива"" выиграли юношеский турнир UTLC Cup",11
В аэропорту Домодедово сняли ограничения,11
Президент Болгарии призвала решить украинский конфликт дипломатически,11
В Сирии заявили о подписании соглашения с Россией о передаче объектов в Тартусе,11
Украинский омбудсмен потребовал провести проверку военкоматов в Закарпатье,11
Филатов назвал престижной победу УГГУ на чемпионате мира среди университетов,11
"Московское ""Динамо"" одержало первую победу в сезоне РПЛ",11
Допуск с флагом и турниры в РФ. Главные заявления президента European Aquatics,11
В Донецке без электроэнергии остались более 8 тыс. абонентов,11
В Смоленской области завершили основные работы по восстановлению электроэнергии,11
Эксперт Ульмасов отметил рост конкуренции за рабочую силу из Центральной Азии,11
SANA: глава МИД Сирии посетил Тартус и Латакию после подписания меморандума с РФ,11
"Израиль заявил, что Ливан обещал разоружить ""Хезболлах"", но не смог",11
Во всех муниципалитетах Югры открылась фотовыставка ТАСС о коренных народах,11
Захарова прокомментировала позицию Токио по бомбардировкам,11
Лушников: в российском ОПК нужна здоровая конкуренция,11
МИД РФ: Северная Македония взяла курс антироссийских установок ЕС и НАТО,11
В Саратовской области после ДТП с участием автобуса завели дело,11
В Белгороде на нескольких улицах ограничили движение транспорта,11
Моджтаба Хаменеи впервые за три месяца встретился с президентом Ирана,11
Чемпионки Спартакиады в синхронном плавании намерены выступить на ЧМ-2027,11
Reuters: суда проходят через турецкие проливы в Черное море без ограничений,11
"""Спартак"" сообщил о продаже всех билетов на матч с ""Краснодаром""",11
Полиция Молдавии сообщила о падении и взрыве беспилотника на юге страны,11
Срок оплаты штрафов для машин с иностранными номерами в РФ могут сократить до суток,11
В Херсонской области расширили зону принудительной эвакуации,11
На Кубани столкнулись две моторные лодки,11
"Советник Нетаньяху рассказал, чего добивается Израиль в Газе",11
Команда УГГУ выиграла ЧМ по шахматам среди университетов,11
Аэропорт Домодедово обслуживает рейсы по согласованию,11
На Кубани при столкновении судна и катамарана пострадал ребенок,11
"Глава European Aquatics считает, что россияне великолепно выступают на турнирах",11
В Коммунарке построят здание для центра госуслуг и Дворца бракосочетания,11
"Тайфун ""Долфин"" обрушился на восток Китая",11
Президент European Aquatics лично оценил качество воды в Сене,11
Находящихся в ПВР жителей поврежденного дома в Белгороде обеспечили необходимым,11
Al Arabiya: при атаке хуситов на порт Моха в Йемене погибли семь человек,11
Сирия и РФ подписали меморандум о будущем российских военных баз,11
Атлеты из РФ получат призовые за выступление на ЧЕ по водным видам спорта,11
Гетболы в Южном море. Новые места в списке наследия ЮНЕСКО в Республике Корея,11
Силва: участие россиян усилило соревнования по синхронному плаванию на ЧЕ,11
В горах Сочи оборудовали площадки для наблюдения за звездопадом Персеиды,11
European Aquatics готова допускать россиян на турниры с флагом и гимном,11
Силва: у России есть право на проведение ЧЕ по водным видам спорта 2028 года,11
В Харькове произошли взрывы,11
"В СФ заявили, что оформление льгот на ЖКУ нужно максимально упростить",11
