line_no,news_id,source,title,old_decision,new_decision,new_category,new_risk_tier,changed,new_reason_codes
1,6fc1a6e56b57c1e29463bee7801d7d9f,TASS,В ГД предложили смягчить требования к тонировке передних боковых стекол машин,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
2,72379ae33d15ce7b2973685ffdee6eb3,TASS,В Москве закроют движение по части улиц и набережных 8-9 августа,hard_block,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
3,4e4cef5dd75b9f65f92b9e967c569ee7,TASS,Сержант Баурин гранатой уничтожил трех боевиков ВСУ,hard_block,hard_block,WAR_OPERATIONAL,red,True,manual_war_operational_hard_block
4,c88169e92372f1198d1385d91851053d,TASS,Временные ограничения ввели в аэропорту Тамбова,review,hard_block,airport,red,True,manual_airport_hard_block
5,c016818cd2b2338500d93e30dc048250,TASS,Военная операция на Украине. Онлайн,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
6,8142a6d85110e01aa76a140568638090,TASS,Telegraph: лидер Reform UK подал в суд на агентство по борьбе с преступностью,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
7,2cbff5194a5c94e9018c24643a1f0d73,TASS,Почти половина найденных летом останков жертв Волынской резни принадлежит детям,review,hard_block,death,red,True,manual_death_hard_block
8,8b46efeb21c9aa7c970c60e62b4a6842,TASS,На Кипре арестовали подозреваемого в покушении на убийство монаха,skip,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
9,52189f868b11fe0d60df92ef69f9443b,TASS,Экс-глава МИД Украины спрогнозировал рост числа нападений на украинцев в Польше,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
10,88b84c1a8176acdaa47fe63da1a2ee88,TASS,Трамп объявил об инвестициях в размере $3 млрд в горнодобывающей отрасли,allow,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
11,01b219c7d808f48e19f3deff65d686e0,TASS,Акция-реквием по павшим защитникам Южной Осетии собрала более 4 тыс. человек,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
12,42962ec2f637097bfe9dd1df8822aeba,TASS,"""Украинская правда"": военных полка ВСУ ""Скала"" переводят в другие подразделения",hard_block,hard_block,WAR_OPERATIONAL,red,True,manual_war_operational_hard_block
13,230e8aadc01e17affd6875ea1b43f095,TASS,В Федерации альпинизма России отреагировали на гибель россиянки во Франции,review,hard_block,SPORT_BLOCKED,red,True,sport_blocked
14,2f325fe526b44a6f50c1ad93cb9ffd33,TASS,В Воронеже и Таловском районе объявили угрозу непосредственного удара БПЛА,review,hard_block,WAR_OPERATIONAL,red,True,manual_war_operational_hard_block
15,5dadde9495e46a18e675cdd39c6b6832,TASS,От восхищения до разочарования. Хорватия встала на пути российской гимнастики,hard_block,hard_block,SPORT_BLOCKED,red,True,manual_sport_hard_block
16,96803f4ee87cb54ae9287123c6944e3a,TASS,"""Грузавтотранс"" потребовала снять запрет на каботаж для Калининграда",hard_block,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
17,9faa4282653e0258a4f6b0cad2d6ec37,TASS,Мирра Андреева завершила выступление на теннисном турнире в Торонто,hard_block,hard_block,SPORT_BLOCKED,red,False,sport_blocked
18,4a30166b62f513445d0b2e4a95870d1d,TASS,В Тамбовской области объявили опасность атаки БПЛА,hard_block,hard_block,WAR_OPERATIONAL,red,True,manual_war_operational_hard_block
19,0b6dae4e12658c564ab30444ef7af24e,TASS,Журналист Десидерио оценил шансы на ужесточение санкций США против РФ,allow,review,SANCTIONS,yellow,True,"primary:labor_economy,sanctions_allow_gate"
20,7aaed1d02290cdf3c86ce71a1762386e,TASS,В Москве жара достигла 30 градусов пятый раз с начала лета,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
21,d39c296d7911483893d506bb54b335ca,TASS,El País: в Испании введут контроль на границе для путешественников из Италии,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
22,e61201aa907bdbd3e4cf2a59ba022c6a,TASS,Российские волейболистки проиграли сборной Сербии в товарищеском матче,hard_block,hard_block,SPORT_BLOCKED,red,False,sport_blocked
23,ade67e6f0462045adcb32b4bcd757dec,TASS,В ДНР от атак ВСУ пострадали 11 мирных жителей,review,hard_block,WAR_OPERATIONAL,red,True,manual_war_operational_hard_block
24,72e39ca456ea69ba78027d2d1e5e44c2,TASS,Heartlander News: Минюст США поддержал монастырь РПЦЗ в борьбе с ветропарком,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
25,1373b18f3f76701289071a3a85cdc570,TASS,В Белгородской области из-за атак дронов ВСУ пострадали два человека,hard_block,hard_block,WAR_OPERATIONAL,red,True,manual_war_operational_hard_block
26,9c24dc0f7e1d600d93b2ca12f245a088,TASS,В Киеве 23-й день протестуют из-за отставки Федорова,allow,review,,yellow,True,unknown_topic
27,dd211fc3e811946ca11ff36c0e47ae5b,TASS,"Экс-президент Южной Осетии считает, что Грузия оказалась прагматичней Украины",allow,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
28,9208ac0950a932f4fa610a1fc8b1192a,TASS,Bloomberg: Пентагон закупит лазерные противодроновые установки на $400 млн,review,hard_block,WAR_OPERATIONAL,red,True,manual_war_operational_hard_block
29,bcbbd7fa9667c6b48dc7480fad180ea2,TASS,"Югра в ноябре примет Зимние игры паралимпийцев ""Мы вместе. Спорт""",hard_block,hard_block,SPORT_BLOCKED,red,False,sport_blocked
30,706033d35ae208b357dcbc996c23bbb3,TASS,Военизированные группировки в Ираке отложили атаку на соседнюю страну,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
31,1fa0e5bc1eebf05a754304e5a3b04c16,TASS,Оппозиция раскритиковала сбор на подсветку Эйфелевой башни в цвета флага Молдавии,review,review,,yellow,False,unknown_topic
32,d78addf91af676a37a9a6d0fd1c12516,TASS,Медицинские программы обучения стали самыми популярными в крупнейшем вузе КБР,allow,allow,,green,False,primary:social
33,cf744d8b32996ceb37f088cfb86ca0d9,TASS,Канцелярия Бернэма раскритиковала предложение запретить пить в пабах стоя,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
34,d46371d63a1ca466c75e1ca0e175c9e0,TASS,Оставили без виз. Гимнасток Мельникову и Листунову лишили чемпионата Европы,hard_block,hard_block,SPORT_BLOCKED,red,True,manual_sport_hard_block
35,56bf4781ca15a35b6d57c73fcf6f2aca,TASS,Экс-президент Южной Осетии назвал дату первой гибридной войны Запада,allow,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
36,1774a5f96a825bc10259f15d867bf0e1,TASS,Зеленский усилил свою охрану для первого визита в Сербию,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
37,ed981587b3302cbf7ceb891adc04e17d,TASS,ТАСС возглавил рейтинг цитируемости СМИ в июле,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
38,81c8ea06115b5eef9364e3566073b618,TASS,США ввели санкции против двух криптобирж за якобы помощь Ирану,hard_block,review,SANCTIONS,yellow,True,"title_lead_key_verb:санкц+ввел,sanctions_allow_gate"
39,fcb7b80a438710e6a801a499bfa39fd8,TASS,В Сербии 100 общественных деятелей протестуют против приезда Зеленского,allow,review,,yellow,True,unknown_topic
40,473e9c3f1a37f4f7de863920f1b3f86f,TASS,Раскрыт молекулярный механизм развития средиземноморской семейной лихорадки,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
41,9cd90df0407b4a40c00577e23008e593,TASS,"""Прозрачный блокчейн"" помог выявить связи криптомошенников с иностранной биржей",review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
42,706d1b1a3ea1c3507a0e19cb1b72994f,TASS,В Раде предложили Федорову вступить в ряды ВС Украины,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
43,6d3959dda7b1d58e3f3f4ff34abb732a,TASS,Валиева и Трусова дождались. ISU продолжает допускать россиян до турниров,review,hard_block,SPORT_BLOCKED,red,True,manual_sport_hard_block
44,22bf2eca15200a8c319d6ed5d09f40c9,TASS,В Минздраве одобрили еще пять лекарств для перечня жизненно необходимых,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
45,cee77b6a0cda501777294ed9be55b26b,TASS,В Воронежской области объявили опасность атаки БПЛА,hard_block,hard_block,WAR_OPERATIONAL,red,True,manual_war_operational_hard_block
46,3acc045f7710ecfc7163a92b5cb21677,TASS,Хуситы заявили об ударе по военной базе просаудовских сил в Йемене,hard_block,hard_block,WAR_OPERATIONAL,red,False,combat_co:ударе+военной
47,5a948eeb5ecc33c28ebff6ab43ead22c,TASS,Экс-президент Финляндии заявил о необходимости диалога Европы с РФ,allow,allow,,green,False,title_lead_key_verb:президент+заявил
48,bba2c9a3020246311471d572625f1b8c,TASS,Комаров отметил самоотдачу игроков команды Olympic по фиджитал-футболу,hard_block,hard_block,SPORT_BLOCKED,red,False,sport_blocked
49,3773235b074c02148bf1d2376264e6ad,TASS,На юго-востоке Украины повреждены объекты инфраструктуры,allow,allow,,green,False,primary:labor_economy
50,4d62641f28ef200c051e40d4f364d421,TASS,Политик Джурджев: приезд Зеленского в Белград не отвечает интересам Сербии,allow,allow,,green,False,primary:geopolitics
51,b77933de93a5fd844911481e4fd25d7e,TASS,В Москве прекратил действовать оранжевый уровень опасности,review,hard_block,WAR_OPERATIONAL,red,True,manual_war_operational_hard_block
52,b3ab479418de60c6f09388e33a346d66,TASS,Agerpres: Румыния разрешила ограничивать экспорт и потребление электроэнергии,hard_block,allow,,green,True,primary:labor_economy
53,6dea2f28c7eb9f8bdba885f8853f6a61,TASS,"ГП проконтролирует расследование дела криптообменников, работавших на Киев",review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
54,e1ce21d5543b76f267da69b1670e58fd,TASS,Минпромторг ждет антидемпингового расследования ЕАЭС по лимонной кислоте,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
55,de9db0eae454bbb9dfbaa365ead08b6f,TASS,Над Россией за день сбили 75 украинских БПЛА,hard_block,hard_block,WAR_OPERATIONAL,red,True,manual_war_operational_hard_block
56,97fbe76690002fb6d7d717d22dc77b4f,TASS,"Тарасова: отказ в допуске атлетам РФ выносят людишки, не разбирающиеся в предмете",hard_block,hard_block,SPORT_BLOCKED,red,False,sport_blocked
57,87d62741c20273b9af49c2aff301a614,TASS,Защита олигарха Плахотнюка обвинила премьера Молдавии в давлении на юстицию,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
58,92641be0a19ed9faa7c3b62646ea36c7,TASS,"В ""Крокус Сити Океанариуме"" рассказали, как ухаживают за байкальскими нерпами",hard_block,hard_block,,red,False,fio:Крокус Сити Океанариуме
59,a4df6366125a11c1d1667603dc4dce58,TASS,Российский рынок акций завершил неделю снижением основных индексов,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
60,5213dcdd654152596f555fb882c107f6,TASS,"Журова считает, что весь мир ожидает выступления Валиевой на соревнованиях",review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
61,1eb0b881702548680c6d6733149b1d6b,TASS,"Минтруд предложил расширить число категорий лиц, имеющих право на две пенсии",hard_block,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
62,79301378318e3ab6f78012ccc4f8cd88,TASS,В Сербии оценили последствия приезда Зеленского в Белград,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
63,3dd73dcbcb5f17d1779dba6832fe4dbd,TASS,"The Times of India: США в 2026 году поставили Индии 3,6 млн тонн СНГ",review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
64,6205324d16a7898c25d7b6000fd2605b,TASS,На Украине задерживаются более 60 пассажирских поездов,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
65,780321f3f505dd02296185dcd99bdd84,TASS,Минпромторг изучает предложения по поддержке селлеров после атак на Wildberries,review,hard_block,ТЕРРАКТ,red,True,manual_wildberries_terract
66,a64e7640bd52b8ec8fe0961bbda165bc,TASS,Минпромторг: Wildberries успешно справляется с ликвидацией последствий атак,allow,hard_block,ТЕРРАКТ,red,True,manual_wildberries_terract
67,47b3421aa981af96f0ead8e6b793452a,TASS,"Роднина призвала не путать ""хотелки"" с профессиональной оценкой процесса допуска",review,hard_block,SPORT_BLOCKED,red,True,manual_sport_hard_block
68,9b4722ace6d747a862d6822a070395fb,TASS,Сенат США одобрил ужесточение санкций против России и Ирана,allow,review,SANCTIONS,yellow,True,"primary:labor_economy,sanctions_allow_gate"
69,c748312d10d3e59febba17c5e01bd016,TASS,В Геленджике отменили угрозу атаки БПЛА,review,hard_block,WAR_OPERATIONAL,red,True,manual_war_operational_hard_block
70,957e8556ce9f1a7b127e0fdcf086b4f3,TASS,Несколько населенных пунктов ДНР обесточены из-за аварии на электросетях,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
71,d95f1c9f86131df294358556f45a9d8c,TASS,Зеленский впервые прибыл в Сербию,review,allow,NON_TOPICAL,green,True,"unknown_topic_low_signal,green_forced_to_allow"
72,346603168344fb70f4136aafa66ef290,TASS,В аэропорту Геленджика сняли ограничения,review,hard_block,airport,red,True,manual_airport_hard_block
